Region,Region code,Province  ,Province code,Municipality/City  ,Municipality/City Code,Poverty Incidence_2009,Poverty Incidence_2012,Poverty Incidence_2015,Coefficient of Variation_2009,Coefficient of Variation_2012,Coefficient of Variation_2015,90% Confidence Interval_2009 Lower Limit,90% Confidence Interval_2009 Upper Limit,90% Confidence Interval_2012 Lower Limit,90% Confidence Interval_2012 Upper Limit2,90% Confidence Interval_2015 Lower Limit,90% Confidence Interval_2015 Upper Limit,Longitude,Latitude,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binmaley,PH015513000,17.5,7.5,9.2,9.6,16.1,13.0,14.8,20.3,5.5,9.4,7.2,11.2,120.2892,16.0061,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bolinao,PH015514000,28.7,12.5,16.9,9.7,18.0,14.4,24.1,33.2,8.8,16.2,12.9,20.9,119.8640,16.3133,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bugallon,PH015515000,24.8,15.2,14.7,7.6,14.1,12.3,21.6,27.9,11.6,18.7,11.7,17.6,120.1753,15.9220,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Burgos,PH015516000,28.7,9.5,13.7,9.8,30.6,15.3,24.1,33.3,4.7,14.2,10.2,17.1,119.8434,16.0275,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Calasiao,PH015517000,17.2,9.9,8.7,11.1,18.7,17.2,14.1,20.4,6.8,12.9,6.2,11.2,120.3596,15.9935,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Dagupan,PH015518000,13.9,6.0,9.2,7.0,20.6,16.7,12.3,15.5,3.9,8.0,6.7,11.7,120.3449,16.0541,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Dasol,PH015519000,25.3,17.6,12.8,9.6,16.9,16.4,21.3,29.3,12.7,22.5,9.4,16.3,119.8979,15.9466,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Infanta,PH015520000,24.0,9.5,14.2,11.0,30.3,16.7,19.6,28.3,4.8,14.2,10.3,18.1,120.0620,15.8759,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Labrador,PH015521000,18.6,8.7,11.0,9.9,25.7,25.0,15.5,21.6,5.0,12.4,6.5,15.5,120.1156,15.9980,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Lingayen (Capital),PH015522000,18.3,9.4,10.6,5.8,14.4,12.9,16.6,20.1,7.2,11.6,8.4,12.9,120.1796,16.0253,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mabini,PH015523000,21.5,12.1,14.9,7.6,20.4,16.3,18.8,24.2,8.0,16.2,10.9,18.9,119.9838,16.0011,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Malasiqui,PH015524000,24.5,19.1,12.3,6.3,9.5,10.0,21.9,27.0,16.1,22.1,10.2,14.3,120.4553,15.9086,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Manaoag,PH015525000,22.3,8.9,11.6,11.2,20.7,13.7,18.2,26.4,5.9,11.9,9.0,14.2,120.5006,16.0313,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangaldan,PH015526000,17.8,12.5,11.5,7.0,17.5,13.1,15.8,19.9,8.9,16.1,9.0,13.9,120.4008,16.0615,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangatarem,PH015527000,25.5,10.6,14.7,8.0,15.7,9.5,22.2,28.8,7.9,13.4,12.4,17.0,120.2796,15.7361,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mapandan,PH015528000,21.3,12.9,11.4,10.0,20.7,19.0,17.8,24.8,8.5,17.3,7.8,14.9,120.4559,16.0202,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Natividad,PH015529000,21.5,11.9,11.7,12.8,19.9,16.5,17.0,26.1,8.0,15.8,8.5,14.9,120.8355,16.0476,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Pozorrubio,PH015530000,20.0,15.4,10.2,7.2,12.6,12.3,17.6,22.3,12.2,18.5,8.1,12.2,120.5286,16.1130,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Rosales,PH015531000,17.9,8.8,13.3,10.4,16.4,13.3,14.8,21.0,6.4,11.1,10.4,16.2,120.6380,15.8685,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of San Carlos,PH015532000,26.4,16.0,12.3,7.3,10.0,9.8,23.2,29.6,13.3,18.6,10.3,14.2,120.3279,15.9080,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Fabian,PH015533000,22.1,11.7,10.1,10.3,14.6,12.7,18.3,25.8,8.9,14.4,8.0,12.2,120.4358,16.1451,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Jacinto,PH015534000,21.1,13.6,11.5,12.3,17.6,14.7,16.9,25.4,9.7,17.6,8.7,14.3,120.4579,16.0863,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Manuel,PH015535000,21.3,9.1,12.4,10.0,26.4,15.8,17.8,24.8,5.1,13.0,9.2,15.7,120.6707,16.1036,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Nicolas,PH015536000,18.9,13.9,13.1,6.6,16.9,12.3,16.8,20.9,10.0,17.8,10.4,15.7,120.7725,16.1244,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Quintin,PH015537000,20.5,11.8,12.6,11.2,18.6,15.9,16.7,24.3,8.2,15.4,9.3,15.9,120.8235,15.9846,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Barbara,PH015538000,20.4,12.3,11.7,10.2,15.5,13.7,16.9,23.8,9.2,15.5,9.1,14.3,120.4282,15.9885,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Maria,PH015539000,18.3,16.6,11.8,13.8,17.9,17.5,14.1,22.4,11.7,21.5,8.4,15.2,120.7013,15.9627,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santo Tomas,PH015540000,17.5,13.0,12.2,6.6,24.3,22.2,15.6,19.4,7.8,18.2,7.8,16.7,120.5783,15.8651,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sison,PH015541000,18.9,7.9,10.0,8.8,20.1,14.6,16.1,21.6,5.3,10.5,7.6,12.4,120.5528,16.1862,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sual,PH015542000,26.7,11.8,13.5,4.9,17.8,17.7,24.5,28.9,8.3,15.3,9.6,17.5,120.0536,16.0869,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Tayug,PH015543000,16.4,6.7,11.3,7.3,21.3,16.0,14.5,18.4,4.4,9.1,8.3,14.3,120.7447,16.0127,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Umingan,PH015544000,22.9,21.6,12.5,9.6,9.8,11.4,19.3,26.5,18.2,25.1,10.2,14.9,120.8164,15.9023,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Urbiztondo,PH015545000,31.7,13.0,18.9,9.6,14.4,13.0,26.7,36.7,9.9,16.1,14.9,22.9,120.3488,15.8166,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Urdaneta,PH015546000,14.4,6.8,9.8,8.4,20.4,13.6,12.4,16.3,4.5,9.0,7.6,12.0,120.5598,15.9705,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Villasis,PH015547000,17.0,14.4,10.2,9.8,19.1,16.4,14.3,19.7,9.9,18.9,7.4,12.9,120.5656,15.9082,
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Laoac,PH015548000,21.0,14.2,10.7,5.9,15.2,16.6,19.0,23.0,10.6,17.7,7.8,13.6,120.5434,16.0426,
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Basco (Capital),PH020901000,5.1,16.9,14.4,36.8,19.3,18.6,2.0,8.2,11.5,22.2,10.0,18.8,121.9929,20.4587,
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Itbayat,PH020902000,12.6,34.1,26.4,33.4,15.2,14.5,5.7,19.5,25.6,42.6,20.1,32.7,121.8358,20.7599,
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Ivana,PH020903000,8.9,16.4,18.3,42.2,26.6,25.8,2.7,15.1,9.2,23.6,10.5,26.0,121.9307,20.3793,
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Mahatao,PH020904000,8.9,21.4,18.0,42.8,20.1,24.4,2.6,15.1,14.4,28.5,10.7,25.2,121.9483,20.4088,
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Sabtang,PH020905000,11.4,30.7,24.2,33.8,15.2,17.1,5.1,17.8,23.0,38.3,17.4,31.0,121.8611,20.3090,
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Uyugan,PH020906000,8.1,18.1,19.5,39.6,22.7,21.4,2.8,13.3,11.4,24.9,12.6,26.3,121.9516,20.3685,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Abulug,PH021501000,21.6,20.9,14.4,12.1,9.9,15.0,17.3,25.9,17.5,24.3,10.8,17.9,121.4325,18.3912,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Alcala,PH021502000,21.8,18.9,13.6,10.4,12.0,14.3,18.1,25.5,15.2,22.6,10.4,16.8,121.6746,17.9157,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Allacapan,PH021503000,21.2,18.0,12.3,12.4,10.5,13.8,16.9,25.5,14.9,21.1,9.5,15.1,121.5447,18.1996,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Amulung,PH021504000,27.9,25.2,17.5,7.5,10.2,10.1,24.4,31.3,20.9,29.4,14.6,20.4,121.7031,17.8331,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Aparri,PH021505000,15.4,21.9,15.4,11.2,9.2,13.1,12.6,18.3,18.5,25.2,12.1,18.8,121.6228,18.3229,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Baggao,PH021506000,22.6,22.0,13.4,8.6,10.3,12.1,19.4,25.8,18.2,25.7,10.7,16.1,121.9717,17.9226,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Ballesteros,PH021507000,22.7,17.9,12.5,11.1,13.8,17.7,18.5,26.9,13.8,22.0,8.8,16.1,121.5058,18.3512,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Buguey,PH021508000,22.4,18.6,15.8,10.2,10.6,12.8,18.6,26.1,15.3,21.8,12.5,19.1,121.8070,18.2430,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Calayan,PH021509000,27.7,47.4,22.7,14.9,10.9,17.6,20.9,34.4,38.9,55.9,16.1,29.3,121.4584,19.3253,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Camalaniugan,PH021510000,16.9,17.1,11.9,11.5,10.1,14.5,13.7,20.1,14.2,19.9,9.1,14.8,121.6895,18.2697,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Claveria,PH021511000,15.1,14.6,9.4,12.1,11.9,15.0,12.1,18.1,11.7,17.4,7.1,11.7,121.0929,18.5746,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Enrile,PH021512000,19.8,19.7,12.6,11.5,10.7,14.8,16.0,23.5,16.2,23.1,9.5,15.7,121.6978,17.5362,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gattaran,PH021513000,19.2,16.7,14.8,9.9,11.2,10.9,16.1,22.4,13.6,19.8,12.2,17.5,121.8803,18.0524,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Gonzaga,PH021514000,16.6,13.4,13.1,14.5,12.3,15.6,12.6,20.6,10.7,16.1,9.7,16.5,122.1239,18.2506,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Iguig,PH021515000,19.5,14.3,12.5,11.7,13.6,15.6,15.8,23.3,11.1,17.5,9.3,15.7,121.7548,17.7473,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lal-lo,PH021516000,16.7,15.5,11.1,13.1,12.6,13.9,13.1,20.3,12.3,18.8,8.6,13.6,121.7209,18.1777,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Lasam,PH021517000,18.2,13.6,12.2,11.8,11.8,14.2,14.7,21.8,11.0,16.3,9.3,15.0,121.5401,18.0590,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Pamplona,PH021518000,20.7,26.7,15.0,12.4,10.3,19.2,16.4,24.9,22.2,31.3,10.2,19.7,121.3278,18.4450,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Peñablanca,PH021519000,18.2,20.1,12.6,13.0,9.1,14.7,14.3,22.1,17.1,23.1,9.6,15.7,121.9660,17.6837,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Piat,PH021520000,22.5,15.6,14.4,12.5,14.6,15.2,17.9,27.1,11.8,19.3,10.8,17.9,121.5151,17.7738,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Rizal,PH021521000,26.1,18.8,22.6,10.9,11.0,13.7,21.5,30.8,15.4,22.2,17.5,27.8,121.3928,17.9137,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Sanchez-Mira,PH021522000,13.4,17.2,9.9,16.6,11.7,19.5,9.8,17.1,13.9,20.5,6.7,13.1,121.2166,18.5387,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Ana,PH021523000,16.3,20.6,12.5,16.2,12.3,19.1,12.0,20.7,16.5,24.8,8.6,16.5,122.2268,18.3837,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Praxedes,PH021524000,17.2,17.5,9.8,21.4,19.5,27.7,11.1,23.2,11.9,23.1,5.3,14.2,120.9996,18.5333,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santa Teresita,PH021525000,18.6,16.2,12.6,16.5,12.3,16.3,13.6,23.7,12.9,19.4,9.2,15.9,121.9033,18.2159,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Santo Niño (Faire),PH021526000,26.3,22.1,19.7,11.2,11.3,12.8,21.5,31.2,18.0,26.2,15.6,23.9,121.5314,17.9133,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Solana,PH021527000,22.5,22.7,11.9,8.8,8.5,13.3,19.3,25.8,19.5,25.9,9.3,14.5,121.6414,17.6642,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuao,PH021528000,22.7,17.9,15.5,10.2,11.5,13.3,18.9,26.5,14.5,21.3,12.1,18.9,121.5008,17.6794,
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,Tuguegarao City (Capital),PH021529000,8.5,9.3,6.0,12.9,11.8,14.7,6.7,10.3,7.5,11.1,4.5,7.4,121.7493,17.6103,
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Alicia,PH023101000,17.2,15.2,12.4,11.8,13.2,11.4,13.8,20.5,11.9,18.5,10.1,14.7,121.6748,16.8152,
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Angadanan,PH023102000,18.9,17.6,18.3,9.4,9.0,10.0,16.0,21.8,15.0,20.2,15.3,21.2,121.8027,16.7799,
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,Aurora,PH023103000,16.4,13.1,10.8,11.9,14.0,13.0,13.2,19.6,10.1,16.1,8.4,13.1,121.6432,16.9836,
