,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Bolivia (Plurinational State of),19 ,15 , 23,,91 ,73 , >98,,,,,,23 ,18 , 28,,90 ,72 , >98,,73 ,58 , 89,,26 ,21 , 32,,89 ,71 , >98,,48 ,38 , 59,,31 ,25 , 38,,89 ,70 , >98,,91 ,72 , >98,,37 ,29 , 46,,88 ,69 , >98,,94 ,73 , >98,,37 ,29 , 47,,87 ,68 , >98,,98 ,76 , >98,,43 ,34 , 55,,87 ,68 , >98,,97 ,75 , >98,,47 ,36 , 61,,86 ,66 , >98,,97 ,74 , >98,,49 ,37 , 64,,86 ,65 , >98,,98 ,74 , >98,,67 ,52 , 87,,89 ,68 , >98,,79 ,61 , >98,
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Botswana,76 ,53 , 87,,92 ,65 , >98,,,,,,76 ,50 , 89,,89 ,59 , >98,,,,,,72 ,45 , 85,,88 ,55 , >98,,,,,,76 ,46 , 90,,85 ,52 , >98,,91 ,55 , >98,,72 ,43 , 86,,79 ,46 , 94,,91 ,53 , >98,,85 ,50 , >98,,79 ,47 , 95,,... ,... , ...,,>98 ,59 , >98,,76 ,45 , 91,,... ,... , ...,,91 ,53 , >98,,79 ,46 , 95,,98 ,57 , >98,,82 ,48 , >98,,86 ,50 , >98,,... ,... , ...,,86 ,51 , >98,,79 ,47 , 98,,... ,... , ...,
Brazil,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Bulgaria,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",97 ,86 , >98,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",78 ,70 , 86,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,89 , >98,"Children estimates were not available at the time of publication.",85 ,76 , 94,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",82 ,72 , 93,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",98 ,86 , >98,"Children estimates were not available at the time of publication.",69 ,61 , 78,"Children estimates were not available at the time of publication."
Burkina Faso,17 ,14 , 21,,85 ,70 , >98,,,,,,20 ,17 , 25,,85 ,69 , >98,,,,,,22 ,18 , 28,,84 ,68 , >98,,... ,... , ...,,24 ,20 , 30,,83 ,68 , >98,,... ,... , ...,,28 ,23 , 35,,83 ,67 , >98,,... ,... , ...,,30 ,24 , 37,,82 ,65 , >98,,... ,... , ...,,31 ,24 , 38,,80 ,64 , >98,,90 ,71 , >98,,34 ,27 , 43,,80 ,63 , >98,,83 ,66 , >98,,37 ,29 , 48,,80 ,63 , >98,,92 ,72 , >98,,31 ,24 , 40,,>98 ,78 , >98,,77 ,60 , >98,
Burundi,33 ,26 , 41,,82 ,67 , >98,,,,,,39 ,31 , 48,,82 ,66 , >98,,,,,,45 ,36 , 56,,81 ,65 , >98,,,,,,53 ,43 , 66,,81 ,66 , >98,,... ,... , ...,,61 ,49 , 77,,81 ,65 , >98,,... ,... , ...,,68 ,54 , 87,,81 ,65 , >98,,70 ,56 , 90,,69 ,55 , 90,,80 ,64 , >98,,84 ,66 , >98,,71 ,56 , 95,,81 ,63 , >98,,85 ,67 , >98,,70 ,54 , 93,,79 ,61 , >98,,86 ,66 , >98,,69 ,53 , 92,,78 ,60 , >98,,89 ,68 , >98,
Cabo Verde,82 ,68 , 98,,>98 ,83 , >98,,,,,,74 ,62 , 89,,94 ,79 , >98,,,,,,83 ,70 , >98,,>98 ,85 , >98,,,,,,82 ,70 , >98,,>98 ,85 , >98,,,,,,81 ,69 , >98,,>98 ,85 , >98,,89 ,76 , >98,,77 ,64 , 94,,>98 ,83 , >98,,>98 ,85 , >98,,78 ,65 , 98,,>98 ,83 , >98,,64 ,53 , 80,,86 ,71 , >98,,>98 ,82 , >98,,80 ,66 , >98,,66 ,53 , 86,,93 ,76 , >98,,85 ,69 , >98,,74 ,56 , 98,,91 ,70 , >98,,91 ,70 , >98,
Cambodia,72 ,60 , 83,,89 ,74 , >98,,,,,,70 ,58 , 81,,94 ,78 , >98,,,,,,69 ,57 , 80,,>98 ,81 , >98,,81 ,67 , 94,,74 ,61 , 86,,>98 ,81 , >98,,86 ,70 , >98,,70 ,57 , 81,,>98 ,80 , >98,,87 ,70 , >98,,64 ,51 , 75,,>98 ,80 , >98,,88 ,70 , >98,,55 ,43 , 65,,>98 ,78 , >98,,88 ,69 , >98,,58 ,46 , 71,,>98 ,79 , >98,,89 ,70 , >98,,58 ,46 , 72,,>98 ,78 , >98,,90 ,70 , >98,,62 ,48 , 77,,>98 ,77 , >98,,90 ,70 , >98,
Cameroon,19 ,16 , 22,,>98 ,84 , >98,,,,,,24 ,20 , 28,,>98 ,83 , >98,,,,,,30 ,25 , 35,,>98 ,83 , >98,,... ,... , ...,,36 ,29 , 41,,96 ,79 , >98,,... ,... , ...,,39 ,32 , 45,,93 ,76 , >98,,... ,... , ...,,45 ,36 , 52,,91 ,74 , >98,,85 ,68 , >98,,50 ,40 , 59,,90 ,72 , >98,,78 ,62 , 92,,53 ,42 , 62,,89 ,70 , >98,,79 ,62 , 92,,58 ,45 , 68,,89 ,69 , >98,,86 ,67 , >98,,61 ,46 , 72,,89 ,68 , >98,,85 ,65 , >98,
Canada,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,
Central African Republic,13 ,10 , 15,,88 ,72 , >98,,,,,,14 ,11 , 17,,87 ,70 , >98,,,,,,20 ,16 , 23,,89 ,72 , >98,,,,,,24 ,19 , 29,,88 ,70 , >98,,... ,... , ...,,32 ,25 , 39,,89 ,70 , >98,,... ,... , ...,,38 ,29 , 47,,89 ,68 , >98,,... ,... , ...,,44 ,33 , 55,,89 ,66 , >98,,... ,... , ...,,49 ,36 , 63,,88 ,65 , >98,,... ,... , ...,,42 ,31 , 56,,85 ,61 , >98,,... ,... , ...,,45 ,31 , 61,,85 ,60 , >98,,... ,... , ...,
Chad,11 ,8 , 14,,84 ,65 , >98,,,,,,11 ,9 , 14,,83 ,64 , >98,,,,,,12 ,9 , 15,,81 ,63 , >98,,... ,... , ...,,12 ,9 , 15,,80 ,61 , >98,,... ,... , ...,,13 ,10 , 16,,79 ,60 , >98,,... ,... , ...,,12 ,9 , 15,,75 ,56 , 95,,... ,... , ...,,14 ,10 , 17,,76 ,56 , 98,,... ,... , ...,,15 ,11 , 19,,77 ,55 , >98,,... ,... , ...,,19 ,13 , 25,,81 ,57 , >98,,... ,... , ...,,24 ,17 , 32,,84 ,58 , >98,,... ,... , ...,
Chile,... ,... , ...,,... ,... , ...,,83 ,74 , 93,,... ,... , ...,,... ,... , ...,,91 ,80 , >98,,... ,... , ...,,... ,... , ...,,90 ,80 , >98,,... ,... , ...,,... ,... , ...,,89 ,79 , >98,,... ,... , ...,,... ,... , ...,,>98 ,88 , >98,,... ,... , ...,,... ,... , ...,,86 ,74 , >98,,... ,... , ...,,... ,... , ...,,93 ,80 , >98,,... ,... , ...,,... ,... , ...,,93 ,80 , >98,,... ,... , ...,,... ,... , ...,,94 ,81 , >98,,... ,... , ...,,... ,... , ...,,97 ,84 , >98,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
